Machine Module SVA1032X
Trace Name,Trace A
1.154000e+09,-2.982725e+00
1.165000e+09,-2.762303e+00
1.176000e+09,-2.672297e+00
1.187000e+09,-2.706501e+00
1.198000e+09,-2.869775e+00
1.209000e+09,-2.970477e+00
1.220000e+09,-3.014412e+00
1.231000e+09,-2.950048e+00
1.242000e+09,-2.808624e+00
1.253000e+09,-2.665883e+00
1.264000e+09,-2.611723e+00
1.275000e+09,-2.735077e+00
1.286000e+09,-2.822975e+00
1.297000e+09,-2.891435e+00
1.308000e+09,-2.893205e+00
1.319000e+09,-2.913823e+00
1.330000e+09,-2.863159e+00
1.341000e+09,-2.708857e+00
1.352000e+09,-2.604797e+00
1.363000e+09,-2.614999e+00
1.374000e+09,-2.721425e+00
1.385000e+09,-2.799820e+00
1.396000e+09,-2.893790e+00
1.407000e+09,-3.047569e+00
1.418000e+09,-3.128407e+00
1.429000e+09,-3.064176e+00
1.440000e+09,-2.890084e+00
1.451000e+09,-2.673150e+00
1.462000e+09,-2.569765e+00
1.473000e+09,-2.564347e+00
1.484000e+09,-2.583999e+00
1.495000e+09,-2.670163e+00
1.506000e+09,-2.888317e+00
1.517000e+09,-3.090500e+00
1.528000e+09,-3.126714e+00
1.539000e+09,-2.964997e+00
1.550000e+09,-2.705022e+00
1.561000e+09,-2.539487e+00
1.572000e+09,-2.425588e+00
1.583000e+09,-2.499592e+00
1.594000e+09,-2.677644e+00
1.605000e+09,-2.977650e+00
1.616000e+09,-3.298716e+00
1.627000e+09,-3.299426e+00
1.638000e+09,-3.103311e+00
1.649000e+09,-2.804893e+00
1.660000e+09,-2.594451e+00
1.671000e+09,-2.484199e+00
1.682000e+09,-2.463934e+00
1.693000e+09,-2.616910e+00
1.704000e+09,-2.796857e+00
1.715000e+09,-2.966004e+00
1.726000e+09,-3.015274e+00
1.737000e+09,-2.964445e+00
1.748000e+09,-2.876159e+00
1.759000e+09,-2.748210e+00
1.770000e+09,-2.720613e+00
1.781000e+09,-2.701251e+00
1.792000e+09,-2.669448e+00
1.803000e+09,-2.654456e+00
1.814000e+09,-2.615782e+00
1.825000e+09,-2.598076e+00
1.836000e+09,-2.650096e+00
1.847000e+09,-2.699668e+00
1.858000e+09,-2.828017e+00
1.869000e+09,-2.962521e+00
1.880000e+09,-3.034861e+00
1.891000e+09,-3.060190e+00
1.902000e+09,-2.871653e+00
1.913000e+09,-2.651382e+00
1.924000e+09,-2.447937e+00
1.935000e+09,-2.365790e+00
1.946000e+09,-2.383741e+00
1.957000e+09,-2.611956e+00
1.968000e+09,-2.905402e+00
1.979000e+09,-3.215382e+00
1.990000e+09,-3.296363e+00
2.001000e+09,-3.192782e+00
2.012000e+09,-2.776637e+00
2.023000e+09,-2.378086e+00
2.034000e+09,-2.026669e+00
2.045000e+09,-1.938639e+00
2.056000e+09,-2.176722e+00
2.067000e+09,-2.779338e+00
2.078000e+09,-3.321089e+00
2.089000e+09,-3.570123e+00
2.100000e+09,-3.545895e+00
2.111000e+09,-3.123876e+00
2.122000e+09,-2.566312e+00
2.133000e+09,-2.036194e+00
2.144000e+09,-1.713535e+00
2.155000e+09,-2.067917e+00
2.166000e+09,-2.811637e+00
2.177000e+09,-3.240765e+00
2.188000e+09,-3.534587e+00
2.199000e+09,-3.483324e+00
2.210000e+09,-3.313277e+00
2.221000e+09,-2.822954e+00
2.232000e+09,-2.191490e+00
2.243000e+09,-1.804874e+00
2.254000e+09,-1.962241e+00
2.265000e+09,-2.394659e+00
2.276000e+09,-2.869969e+00
2.287000e+09,-3.174198e+00
2.298000e+09,-3.396902e+00
2.309000e+09,-3.480161e+00
2.320000e+09,-3.265425e+00
2.331000e+09,-2.706537e+00
2.342000e+09,-2.222737e+00
2.353000e+09,-2.165931e+00
2.364000e+09,-2.236980e+00
2.375000e+09,-2.503763e+00
2.386000e+09,-2.755944e+00
2.397000e+09,-3.139456e+00
2.408000e+09,-3.500239e+00
2.419000e+09,-3.525793e+00
2.430000e+09,-3.177002e+00
2.441000e+09,-2.744508e+00
2.452000e+09,-2.370413e+00
2.463000e+09,-2.180642e+00
2.474000e+09,-2.231337e+00
2.485000e+09,-2.421823e+00
2.496000e+09,-2.918827e+00
2.507000e+09,-3.279976e+00
2.518000e+09,-3.350006e+00
2.529000e+09,-3.209421e+00
2.540000e+09,-2.938512e+00
2.551000e+09,-2.706280e+00
2.562000e+09,-2.513509e+00
2.573000e+09,-2.414829e+00
2.584000e+09,-2.440531e+00
2.595000e+09,-2.654587e+00
2.606000e+09,-2.907336e+00
2.617000e+09,-3.090246e+00
2.628000e+09,-3.124625e+00
2.639000e+09,-3.139956e+00
2.650000e+09,-3.043476e+00
2.661000e+09,-2.946784e+00
2.672000e+09,-2.798870e+00
2.683000e+09,-2.651274e+00
2.694000e+09,-2.564515e+00
2.705000e+09,-2.605512e+00
2.716000e+09,-2.785681e+00
2.727000e+09,-2.962431e+00
2.738000e+09,-3.084736e+00
2.749000e+09,-3.172041e+00
2.760000e+09,-3.216092e+00
2.771000e+09,-3.180862e+00
2.782000e+09,-2.869559e+00
2.793000e+09,-2.550555e+00
2.804000e+09,-2.419142e+00
2.815000e+09,-2.525670e+00
2.826000e+09,-2.662083e+00
2.837000e+09,-2.932977e+00
2.848000e+09,-3.208979e+00
2.859000e+09,-3.465802e+00
2.870000e+09,-3.486959e+00
2.881000e+09,-3.182778e+00
2.892000e+09,-2.789649e+00
2.903000e+09,-2.452346e+00
2.914000e+09,-2.395493e+00
2.925000e+09,-2.550155e+00
2.936000e+09,-2.945669e+00
2.947000e+09,-3.355594e+00
2.958000e+09,-3.565219e+00
2.969000e+09,-3.527482e+00
2.980000e+09,-3.252144e+00
2.991000e+09,-2.843496e+00
3.002000e+09,-2.596392e+00
3.013000e+09,-2.541946e+00
3.024000e+09,-2.896561e+00
3.035000e+09,-3.305091e+00
3.046000e+09,-3.688948e+00
3.057000e+09,-3.761653e+00
3.068000e+09,-3.565050e+00
3.079000e+09,-3.344688e+00
3.090000e+09,-3.001263e+00
3.101000e+09,-2.900137e+00
3.112000e+09,-3.030003e+00
3.123000e+09,-3.294378e+00
3.134000e+09,-3.593291e+00
3.145000e+09,-3.841464e+00
3.156000e+09,-3.637946e+00
3.167000e+09,-3.428223e+00
3.178000e+09,-3.185296e+00
3.189000e+09,-2.900540e+00
3.200000e+09,-2.925914e+00
